Breed,Climate_Zone,Management_System,Age_Months,Weight_kg,Parity,Lactation_Stage,Days_in_Milk,Feed_Type,Feed_Quantity_kg,Feeding_Frequency,Water_Intake_L,Walking_Distance_km,Grazing_Duration_hrs,Rumination_Time_hrs,Resting_Hours,Ambient_Temperature_C,Humidity_percent,Season,Housing_Score,FMD_Vaccine,Brucellosis_Vaccine,HS_Vaccine,BQ_Vaccine,Anthrax_Vaccine,IBR_Vaccine,BVD_Vaccine,Rabies_Vaccine,Previous_Week_Avg_Yield,Body_Condition_Score,Milking_Interval_hrs,Milk_Yield_L
Red_Sindhi,Subtropical,Mixed,88,622.5,5,Late,43,Hay,19.0,4,79.1,4.27,3.1,8.2,12.4,32.8,34.8,Summer,0.9,1,1,0,0,1,1,0,0,4.02,3.0,6,5.77
Ankole,Tropical,Intensive,27,455.9,5,Mid,203,Hay,14.5,4,92.7,8.93,4.9,8.6,12.5,45.0,27.0,Autumn,0.73,1,1,1,0,0,1,0,1,4.27,3.5,12,3.85
Exotic_Local_Cross,Mediterranean,Extensive,105,546.2,6,Mid,207,Hay,11.3,2,73.8,2.42,3.7,10.4,14.3,22.3,42.5,Spring,0.33,1,1,0,0,0,1,0,1,8.26,2.5,12,9.23
Simmental,Subtropical,Intensive,25,295.1,4,Early,257,Concentrates,16.3,4,97.2,2.07,7.2,11.0,10.5,31.3,38.1,Monsoon,0.63,1,1,1,0,1,1,1,1,14.87,3.0,12,13.2
Ankole,Mediterranean,Semi_Intensive,139,596.7,5,Late,166,Silage,3.0,3,28.6,5.71,7.4,9.7,10.1,35.8,83.8,Summer,0.58,1,1,0,1,1,1,1,0,2.48,5.0,12,0.0
Jersey,Subtropical,Semi_Intensive,88,546.3,2,Mid,61,Mixed_Feed,13.4,5,103.1,2.69,3.7,10.8,9.4,8.5,44.9,Autumn,0.81,0,0,0,1,0,0,1,0,24.83,3.0,8,22.62
Ankole,Mediterranean,Intensive,101,310.9,3,Early,228,Dry_Fodder,16.8,1,72.7,3.77,5.7,10.2,6.2,37.2,36.6,Monsoon,0.68,0,0,1,1,1,1,1,0,2.26,4.5,6,1.16
Holstein-Friesian,Temperate,Pastoral,103,744.1,4,Mid,271,Concentrates,3.0,1,89.6,4.49,6.4,4.6,9.8,17.2,70.4,Winter,0.44,0,0,1,0,1,0,1,1,12.09,3.0,12,12.02
Guernsey,Temperate,Mixed,107,735.2,2,Late,129,Pasture_Grass,7.1,1,20.0,1.3,7.5,10.0,8.8,19.4,41.6,Spring,0.3,0,1,1,1,1,1,0,1,10.19,3.0,12,7.57
Hariana,Tropical,Mixed,95,696.3,5,Mid,185,Mixed_Feed,6.1,3,72.9,2.73,10.4,8.4,10.3,21.1,35.1,Monsoon,0.96,1,0,0,1,1,1,0,1,4.02,3.5,6,4.8
Hariana,Temperate,Pastoral,39,262.9,6,Mid,64,Crop_Residues,15.2,1,20.0,1.46,3.5,8.3,8.2,23.2,57.8,Monsoon,0.98,1,0,1,1,1,0,1,1,6.7,3.0,24,6.38
Brown_Swiss,Mediterranean,Intensive,26,301.5,6,Late,313,Green_Fodder,10.9,5,58.7,4.49,3.5,8.7,10.7,45.0,56.3,Monsoon,0.99,0,1,0,1,1,1,0,1,10.13,3.5,12,10.51
Deoni,Temperate,Pastoral,77,270.6,1,Early,249,Pasture_Grass,13.1,5,61.6,2.36,8.9,5.3,13.0,0.6,46.5,Winter,0.31,1,1,1,1,0,1,1,1,3.55,3.5,12,5.04
Danish_Red,Mediterranean,Extensive,34,367.4,5,Mid,172,Concentrates,6.6,2,91.8,1.03,9.7,9.0,7.9,35.7,71.1,Autumn,0.49,0,0,0,1,0,0,0,0,8.48,3.5,8,9.76
Girolando,Mediterranean,Intensive,28,581.3,1,Late,137,Hay,21.0,3,62.6,8.34,6.6,9.0,18.0,12.6,65.2,Summer,0.71,1,1,1,0,1,0,0,1,11.74,4.5,12,10.94
Kenana,Tropical,Mixed,73,568.3,2,Early,255,Pasture_Grass,8.8,1,71.6,3.4,12.0,10.1,8.9,16.0,84.0,Winter,0.4,0,1,0,0,1,1,0,0,3.96,3.0,12,6.21
Red_Poll_Africa,Tropical,Mixed,96,615.6,2,Early,205,Pasture_Grass,9.1,3,61.7,5.56,5.3,5.2,12.9,22.5,100.0,Summer,0.31,1,1,1,0,1,1,1,1,2.35,3.0,12,2.65
Rathi,Subtropical,Pastoral,114,538.1,4,Late,23,Mixed_Feed,15.9,5,43.3,2.28,2.7,9.7,11.6,8.5,95.3,Summer,0.55,1,1,0,0,0,0,1,0,1.6,3.5,24,2.85
Holstein-Friesian,Subtropical,Intensive,119,666.0,3,Early,350,Concentrates,10.3,3,52.6,5.97,9.6,9.2,5.2,26.0,61.1,Summer,0.42,1,0,0,0,1,1,1,1,14.84,3.5,12,15.57
Fleckvieh,Mediterranean,Extensive,41,388.3,5,Late,261,Dry_Fodder,8.1,4,53.5,7.3,7.4,8.1,5.0,24.4,37.0,Summer,0.97,1,0,1,1,1,1,1,1,14.67,3.0,24,13.39
Milking_Shorthorn,Continental,Pastoral,27,436.5,4,Early,51,Concentrates,14.6,2,33.7,0.61,3.9,8.5,15.6,10.1,57.0,Winter,0.34,0,0,0,1,1,1,1,1,13.4,2.5,12,12.1
Ayrshire,Tropical,Pastoral,134,738.9,3,Mid,72,Mixed_Feed,9.3,2,27.1,0.5,1.0,8.3,15.7,30.2,36.7,Spring,0.77,1,0,1,1,1,0,0,1,19.59,2.0,12,18.33
Brown_Swiss,Arid,Pastoral,134,537.2,4,Early,331,Crop_Residues,7.9,5,120.0,3.02,2.1,8.9,6.0,26.1,63.2,Autumn,0.32,0,1,1,1,0,0,1,0,9.85,2.5,12,9.96
Australian_Friesian_Sahiwal,Subtropical,Mixed,42,605.8,6,Early,23,Green_Fodder,9.2,1,56.6,2.06,9.5,6.8,7.8,21.7,43.4,Winter,0.78,1,1,1,1,0,0,1,1,14.05,3.5,12,12.12
NDama,Mediterranean,Mixed,58,597.6,5,Early,290,Concentrates,11.2,3,76.5,6.78,9.8,8.1,13.1,7.2,28.9,Summer,0.64,0,0,1,1,0,1,1,0,0.0,4.0,12,0.0
Holstein_Zebu_Cross,Temperate,Intensive,101,711.7,6,Early,249,Hay,13.1,4,32.2,1.78,14.0,11.5,9.5,45.0,52.3,Winter,0.75,1,0,0,0,1,1,0,1,11.6,3.5,12,12.34
Norwegian_Red,Arid,Intensive,36,311.7,6,Late,326,Mixed_Feed,14.5,1,60.8,5.99,5.2,9.6,16.4,25.6,71.3,Summer,0.7,0,1,1,0,1,0,1,0,14.11,3.5,12,12.26
NDama,Arid,Extensive,134,621.7,3,Mid,220,Silage,11.9,5,76.3,0.5,7.5,7.5,6.9,22.3,50.1,Autumn,0.78,1,0,1,1,0,0,0,0,6.79,2.5,12,3.45
Australian_Milking_Zebu,Subtropical,Extensive,78,738.2,1,Mid,34,Green_Fodder,8.4,3,77.5,4.32,13.6,5.3,7.2,22.2,46.7,Autumn,0.96,1,1,0,1,1,1,1,1,13.85,2.5,12,12.24
Normande,Tropical,Intensive,102,447.1,4,Late,364,Silage,13.2,5,64.3,3.21,6.7,12.0,16.3,17.2,63.6,Winter,0.31,0,1,1,0,1,1,1,1,1.18,4.0,6,5.4
Milking_Shorthorn,Subtropical,Semi_Intensive,66,564.4,5,Late,186,Hay,16.2,1,73.0,1.17,1.0,9.1,12.3,21.4,41.4,Summer,0.74,1,1,0,0,1,1,1,1,10.93,4.0,12,9.6
Brown_Swiss,Subtropical,Semi_Intensive,81,525.2,3,Early,173,Pasture_Grass,17.9,3,51.9,4.12,6.4,11.7,14.5,20.9,80.9,Summer,0.73,0,1,0,0,1,0,0,1,24.9,3.5,8,26.26
Simmental,Mediterranean,Extensive,107,646.7,6,Late,80,Hay,12.7,3,53.6,2.78,4.3,8.4,8.6,1.5,50.3,Spring,0.93,1,0,1,1,0,0,1,1,13.7,3.5,24,14.84
Red_Sindhi,Tropical,Intensive,134,698.9,1,Late,19,Dry_Fodder,17.5,3,93.5,7.73,8.6,6.3,7.6,32.5,55.0,Autumn,0.78,0,0,1,1,1,0,1,0,0.0,2.5,12,1.23
Boran,Mediterranean,Semi_Intensive,98,695.7,6,Mid,136,Mixed_Feed,16.1,2,38.1,7.09,6.7,10.9,9.9,34.3,74.6,Spring,0.96,1,1,1,0,0,1,1,0,7.95,3.0,12,6.68
Rathi,Subtropical,Mixed,137,356.5,5,Early,43,Crop_Residues,8.3,4,70.1,4.18,7.3,6.0,18.0,25.0,18.8,Summer,0.96,0,1,1,1,1,0,1,1,2.34,3.5,8,2.71
Exotic_Local_Cross,Mediterranean,Intensive,61,290.0,5,Early,265,Green_Fodder,13.5,1,61.8,4.31,5.6,6.8,14.6,29.5,57.0,Monsoon,0.35,0,1,1,0,0,1,1,1,13.74,3.0,12,13.47
Jersey,Continental,Pastoral,75,436.8,3,Late,59,Hay,12.7,3,51.0,4.5,4.2,7.4,8.7,45.0,77.9,Monsoon,0.98,1,0,1,0,0,1,1,1,8.7,3.5,12,8.11
Deoni,Continental,Mixed,64,563.5,4,Late,362,Mixed_Feed,15.3,2,55.0,2.05,5.2,9.5,13.0,19.6,58.1,Monsoon,0.54,1,1,1,1,0,1,0,0,9.01,3.5,24,5.86
Fleckvieh,Mediterranean,Pastoral,25,659.2,3,Late,148,Concentrates,9.1,4,64.1,2.16,6.6,7.9,15.0,11.8,61.3,Spring,0.69,0,1,1,0,1,0,1,1,14.15,2.5,8,15.41
Butana,Continental,Pastoral,107,457.3,1,Early,74,Mixed_Feed,3.0,1,83.4,4.35,8.4,5.3,12.4,19.1,10.0,Monsoon,0.97,0,1,1,0,0,1,1,0,3.67,3.5,12,4.92
Krishna_Valley,Continental,Pastoral,104,268.4,3,Late,212,Hay,8.6,5,23.6,6.73,5.9,5.0,12.2,41.4,77.9,Summer,0.5,0,1,1,1,0,1,0,1,2.59,2.5,24,5.12
Australian_Milking_Zebu,Temperate,Intensive,90,402.8,2,Mid,46,Mixed_Feed,18.1,3,66.0,4.45,5.9,7.7,15.3,21.2,92.3,Autumn,0.6,1,0,1,0,0,1,0,0,12.02,3.0,12,11.13
Illawarra_Shorthorn,Subtropical,Mixed,59,593.7,6,Early,130,Silage,10.1,3,104.4,2.56,6.9,4.7,8.6,40.4,69.1,Monsoon,0.92,1,0,1,1,0,0,1,1,11.37,3.5,12,10.28
Red_Sindhi,Continental,Extensive,84,705.5,6,Mid,3,Silage,6.1,1,22.7,5.54,7.2,8.2,12.8,12.1,63.5,Monsoon,0.46,1,1,0,1,1,1,1,1,6.06,3.5,12,6.7
Kankrej,Tropical,Semi_Intensive,60,250.3,6,Late,190,Crop_Residues,8.9,2,50.5,4.24,7.6,5.2,8.9,25.0,49.7,Winter,0.72,0,1,1,1,1,1,1,1,5.77,3.0,12,6.02
Gangatiri,Arid,Mixed,132,497.1,4,Late,249,Crop_Residues,3.0,2,30.9,6.21,6.3,10.2,8.6,11.9,65.6,Spring,0.71,1,1,0,0,1,1,1,0,0.83,4.5,12,0.51
Africander,Temperate,Pastoral,59,458.2,6,Mid,56,Pasture_Grass,12.9,5,78.7,5.35,4.0,9.5,5.0,10.8,48.3,Spring,0.96,1,0,1,0,1,0,1,0,0.54,2.5,12,2.52
Girolando,Continental,Extensive,86,463.1,6,Mid,227,Dry_Fodder,10.6,2,57.9,3.28,10.1,5.6,5.0,20.5,88.2,Spring,0.46,0,1,0,1,1,0,1,0,16.92,3.0,12,18.57
Holstein-Friesian,Continental,Pastoral,121,364.3,6,Late,279,Crop_Residues,11.0,5,62.1,3.74,6.9,6.4,10.9,18.9,25.1,Autumn,0.92,1,1,1,1,1,0,0,1,19.54,3.5,12,20.16
Danish_Red,Mediterranean,Intensive,82,714.2,1,Mid,361,Pasture_Grass,11.5,2,49.9,3.11,6.0,4.0,11.1,16.7,77.4,Autumn,0.38,1,1,1,0,1,1,1,0,15.71,3.5,12,15.78
Holstein-Friesian,Subtropical,Extensive,114,407.3,5,Mid,214,Dry_Fodder,14.3,3,64.8,1.69,6.0,5.9,11.8,13.2,69.8,Winter,0.86,1,1,1,1,0,1,1,1,29.74,2.5,24,28.81
Hariana,Continental,Mixed,114,713.6,2,Early,357,Pasture_Grass,13.4,5,61.0,5.66,5.7,5.0,13.2,30.7,71.3,Winter,0.37,0,0,1,1,1,1,0,0,2.13,3.0,12,0.05
Holstein-Friesian,Continental,Intensive,46,440.9,5,Mid,7,Green_Fodder,14.3,3,44.0,5.64,2.9,6.9,12.7,16.7,71.8,Summer,0.68,1,1,0,0,0,1,1,1,20.47,3.5,12,18.6
Australian_Friesian_Sahiwal,Mediterranean,Extensive,100,419.8,5,Mid,130,Hay,13.2,1,89.8,4.52,3.6,5.1,8.1,30.3,65.2,Autumn,0.36,1,1,0,1,1,1,0,1,11.09,3.5,12,9.94
Exotic_Local_Cross,Subtropical,Pastoral,31,618.4,1,Mid,349,Dry_Fodder,11.6,3,61.1,4.68,3.8,6.6,14.5,-2.3,78.0,Summer,0.47,1,1,0,1,1,0,0,1,5.1,4.0,12,6.23
Kenana,Mediterranean,Intensive,52,510.9,4,Late,124,Concentrates,12.2,3,70.2,5.46,8.6,10.3,12.7,19.3,61.3,Winter,0.9,1,0,0,1,1,1,1,0,8.29,3.5,12,7.57
White_Fulani,Arid,Extensive,119,662.1,6,Mid,240,Green_Fodder,4.3,4,40.1,6.26,3.5,6.5,12.1,21.9,75.9,Winter,0.48,1,1,0,1,0,1,0,1,1.94,3.5,24,0.82
Australian_Milking_Zebu,Arid,Semi_Intensive,79,609.1,1,Mid,11,Mixed_Feed,11.1,5,88.1,4.0,10.0,8.0,11.3,36.3,24.4,Monsoon,0.38,1,1,0,1,0,1,0,1,0.0,3.5,8,0.84
Milking_Shorthorn,Mediterranean,Extensive,131,554.7,4,Late,250,Concentrates,9.5,5,88.3,5.3,1.0,10.4,10.9,-0.2,33.4,Winter,0.36,1,0,0,0,1,1,1,1,6.99,3.5,8,7.29
Girolando,Tropical,Extensive,124,613.2,5,Late,10,Silage,6.1,4,82.6,3.28,10.9,9.9,9.2,29.9,74.7,Monsoon,0.8,1,1,1,0,1,1,1,0,5.86,3.0,12,7.4
Red_Sindhi,Subtropical,Semi_Intensive,127,552.3,6,Mid,112,Green_Fodder,15.5,1,97.7,7.22,7.5,8.1,16.3,-0.4,39.1,Monsoon,0.88,0,1,1,1,1,0,1,1,8.07,2.5,8,9.04
Kenana,Temperate,Mixed,47,366.2,5,Late,46,Mixed_Feed,16.9,1,42.3,7.11,10.8,6.5,11.1,45.0,76.0,Winter,0.95,0,1,0,1,0,0,1,0,4.27,4.0,12,4.87
Kankrej,Arid,Intensive,132,671.7,5,Late,54,Dry_Fodder,11.4,1,53.3,6.59,6.7,8.6,9.3,28.2,45.9,Winter,0.96,0,1,1,0,1,0,1,1,7.44,3.5,12,6.31
Zebu_Cross_Brazil,Tropical,Intensive,66,728.3,4,Late,149,Crop_Residues,17.5,3,42.9,6.43,7.1,10.2,12.4,34.4,60.3,Spring,0.32,1,0,0,1,0,1,0,1,9.36,3.5,12,9.43
Gir,Temperate,Pastoral,89,486.8,5,Late,220,Green_Fodder,16.1,3,82.9,1.64,2.3,7.4,13.4,24.4,100.0,Monsoon,0.32,1,1,1,0,1,0,1,1,6.96,3.0,8,6.46
Jersey,Subtropical,Pastoral,86,661.5,3,Early,339,Silage,10.5,2,58.5,2.3,12.7,5.7,15.1,-2.5,37.0,Winter,0.84,0,0,0,0,1,1,1,1,17.88,2.5,12,14.21
Gir,Mediterranean,Intensive,103,273.9,2,Late,294,Silage,11.6,4,120.0,6.75,9.4,6.7,16.4,23.9,65.8,Autumn,0.36,0,1,0,0,0,1,1,1,2.5,2.0,12,4.88
Gir,Continental,Pastoral,84,448.2,2,Mid,118,Crop_Residues,14.5,4,55.3,0.5,4.9,8.7,8.8,30.4,58.4,Autumn,0.98,1,1,1,1,0,0,0,0,9.6,3.5,12,9.03
Ankole,Temperate,Semi_Intensive,104,405.7,5,Early,161,Crop_Residues,13.5,4,80.0,5.12,4.2,6.5,5.2,31.7,55.7,Spring,0.59,1,1,1,1,0,1,1,1,5.43,3.0,12,4.2
Australian_Friesian_Sahiwal,Arid,Mixed,29,290.0,3,Early,319,Hay,4.0,4,36.5,6.84,7.0,8.9,11.6,38.5,13.6,Monsoon,0.54,0,1,1,1,1,1,1,1,7.04,4.0,12,2.21
Tharparkar,Mediterranean,Pastoral,94,726.0,5,Mid,288,Dry_Fodder,9.9,2,51.2,6.66,5.7,7.9,6.8,2.3,92.6,Monsoon,0.89,0,0,0,1,1,0,1,1,9.98,4.5,8,11.03
Fleckvieh,Arid,Semi_Intensive,74,718.5,6,Early,183,Green_Fodder,7.1,4,37.8,0.5,4.1,8.4,9.5,12.4,79.7,Summer,0.53,1,0,0,0,1,1,1,0,28.16,3.5,12,26.35
Jersey_Zebu_Cross,Temperate,Extensive,41,692.7,3,Early,70,Crop_Residues,14.8,2,88.9,9.02,5.3,8.9,10.4,23.4,68.1,Winter,0.46,1,1,1,0,0,0,1,0,20.25,3.0,12,18.13
Butana,Mediterranean,Intensive,124,476.3,2,Late,34,Pasture_Grass,12.3,2,61.6,1.4,7.6,6.2,10.3,23.1,100.0,Autumn,0.94,1,0,1,1,0,1,1,1,2.14,3.5,12,2.6
White_Fulani,Continental,Semi_Intensive,121,302.9,4,Late,49,Concentrates,12.6,3,80.6,6.3,3.3,7.1,11.7,7.6,51.9,Winter,0.57,0,0,1,1,1,1,1,0,8.94,2.0,12,9.24
Danish_Red,Tropical,Extensive,71,453.2,5,Late,328,Crop_Residues,5.0,5,73.5,4.55,5.3,6.3,7.4,34.1,56.1,Winter,0.88,1,1,0,1,1,1,1,1,0.0,3.5,12,0.59
Sahiwal,Continental,Intensive,30,683.0,4,Early,166,Green_Fodder,5.6,2,67.1,1.47,5.7,8.4,9.1,13.1,59.7,Winter,0.67,1,0,1,1,1,1,1,0,6.09,4.0,12,7.19
Krishna_Valley,Subtropical,Semi_Intensive,78,551.9,4,Mid,362,Hay,9.1,5,78.8,0.9,9.0,7.3,6.5,36.9,22.2,Summer,0.97,0,0,1,1,1,1,1,0,1.13,3.5,12,0.83
Jersey,Mediterranean,Pastoral,93,359.8,6,Early,274,Pasture_Grass,11.5,3,38.6,3.05,1.0,11.2,12.5,23.4,52.5,Spring,0.54,0,1,1,1,1,1,0,1,12.15,4.0,6,13.16
NDama,Continental,Pastoral,43,646.2,3,Early,75,Crop_Residues,5.7,5,55.1,1.96,9.3,5.8,10.0,29.5,42.9,Spring,0.97,1,0,0,0,1,1,1,0,5.23,3.5,12,5.17
Red_Sindhi,Subtropical,Extensive,137,629.4,3,Mid,64,Mixed_Feed,11.7,3,74.7,2.95,6.6,7.7,10.3,-3.4,37.4,Monsoon,0.54,0,0,0,1,1,1,0,1,0.32,3.0,24,0.81
Australian_Friesian_Sahiwal,Arid,Mixed,103,426.7,1,Early,338,Hay,10.9,4,83.1,5.74,9.0,8.0,12.3,39.7,62.3,Monsoon,0.32,1,0,1,1,1,1,1,1,3.88,4.0,12,6.09
Guernsey,Continental,Mixed,91,315.7,5,Mid,364,Mixed_Feed,16.8,2,102.8,5.87,1.0,4.6,11.8,32.9,51.0,Monsoon,0.48,1,1,0,0,0,1,1,0,8.16,3.5,12,8.79
Kankrej,Continental,Pastoral,126,710.7,3,Early,147,Concentrates,10.3,3,41.9,1.38,5.2,6.5,7.6,8.9,79.3,Winter,0.79,1,0,1,0,1,1,1,1,11.26,4.0,12,11.81
Brown_Swiss,Subtropical,Pastoral,42,459.4,5,Mid,4,Crop_Residues,7.6,3,44.1,6.23,9.4,8.7,8.9,18.6,56.9,Monsoon,0.93,1,1,1,1,1,1,1,1,16.92,3.5,12,19.34
Girolando,Arid,Pastoral,103,428.8,5,Early,196,Mixed_Feed,16.7,1,81.3,2.0,7.7,11.3,16.2,15.4,81.2,Monsoon,0.32,1,1,1,0,0,1,0,1,18.69,3.5,12,16.88
Holstein_Zebu_Cross,Tropical,Intensive,55,678.0,1,Early,344,Mixed_Feed,13.7,3,76.1,3.06,4.4,5.2,11.8,3.8,71.5,Summer,0.84,0,1,1,1,1,0,0,1,12.33,5.0,12,11.24
Tipo_Carora,Mediterranean,Semi_Intensive,100,417.6,4,Early,305,Dry_Fodder,10.8,2,73.3,3.49,9.4,5.7,17.9,-2.6,54.0,Autumn,0.91,0,1,1,1,1,1,1,0,6.73,4.5,12,6.54
Butana,Temperate,Intensive,25,428.5,5,Mid,346,Concentrates,15.4,2,63.8,2.44,6.4,7.4,15.2,9.4,62.8,Summer,0.47,0,0,1,1,1,1,1,0,6.73,3.5,12,7.04
Ongole,Subtropical,Semi_Intensive,81,605.2,2,Mid,335,Dry_Fodder,15.7,2,71.8,1.79,11.8,10.5,11.3,14.4,73.0,Autumn,0.86,1,1,1,1,0,0,1,0,5.27,3.5,8,5.97
NDama,Tropical,Pastoral,70,664.3,1,Early,71,Mixed_Feed,14.3,3,80.1,5.28,5.3,4.6,8.5,29.2,66.1,Winter,0.86,1,0,1,1,1,1,1,1,7.75,3.5,12,6.6
NDama,Tropical,Mixed,130,364.8,1,Early,103,Pasture_Grass,11.9,4,48.6,2.72,6.7,8.9,10.7,8.4,74.0,Autumn,0.41,1,0,0,1,1,0,1,1,1.32,3.5,6,2.22
Gir,Tropical,Intensive,35,687.9,1,Mid,310,Pasture_Grass,9.9,2,50.8,2.75,10.3,7.6,7.7,33.8,34.0,Winter,0.62,0,0,0,1,0,1,1,0,4.19,2.5,8,4.45
Norwegian_Red,Tropical,Mixed,85,747.5,4,Early,91,Hay,18.8,4,72.3,3.86,1.0,10.5,5.3,9.7,78.5,Winter,0.47,1,1,0,1,1,1,0,0,18.52,3.0,12,18.53
Hariana,Arid,Intensive,141,452.2,1,Early,121,Pasture_Grass,12.5,2,91.7,3.87,7.4,6.5,9.0,29.4,50.8,Summer,0.44,1,0,0,0,1,1,1,1,5.76,3.0,6,4.89
Fleckvieh,Arid,Intensive,38,445.6,6,Early,225,Pasture_Grass,15.9,4,65.1,4.47,9.1,11.0,8.4,32.0,49.2,Spring,0.61,1,0,0,1,1,0,1,1,14.96,4.5,12,14.4
Australian_Friesian_Sahiwal,Subtropical,Mixed,74,385.5,6,Mid,164,Pasture_Grass,6.4,4,68.2,7.01,6.5,11.4,7.6,39.5,45.8,Summer,0.79,1,1,0,1,0,0,1,1,17.18,2.5,12,16.22
Australian_Friesian_Sahiwal,Subtropical,Extensive,57,265.6,3,Late,225,Pasture_Grass,17.7,2,45.1,3.17,9.6,5.7,11.6,9.2,75.5,Spring,0.92,0,1,1,0,0,1,0,0,4.65,3.5,12,5.0
Guernsey,Subtropical,Semi_Intensive,38,639.1,2,Early,244,Dry_Fodder,17.9,3,97.1,2.52,9.3,9.3,13.6,30.0,60.8,Spring,0.86,0,1,1,1,0,1,1,0,21.99,3.5,12,20.19
Fleckvieh,Mediterranean,Semi_Intensive,114,668.7,5,Mid,151,Hay,14.3,1,77.6,3.07,2.3,7.0,8.6,23.5,99.0,Monsoon,0.38,1,0,1,0,1,0,0,1,15.81,3.0,12,19.98
Exotic_Local_Cross,Temperate,Extensive,94,738.8,4,Mid,141,Mixed_Feed,3.0,5,71.3,8.84,2.7,8.9,7.9,16.0,70.6,Monsoon,0.59,0,1,0,1,1,1,1,1,8.29,4.0,12,10.72
Brown_Swiss,Continental,Semi_Intensive,84,683.2,6,Late,160,Dry_Fodder,11.1,3,60.7,1.34,10.1,7.4,11.2,15.2,100.0,Monsoon,0.56,1,1,0,0,0,1,1,1,20.78,3.5,8,20.24
Tharparkar,Subtropical,Semi_Intensive,89,528.1,1,Mid,259,Green_Fodder,8.3,5,96.2,3.69,2.9,10.0,13.7,11.9,85.8,Spring,0.49,1,0,1,0,0,0,1,0,9.46,2.5,8,6.33
Gangatiri,Temperate,Pastoral,104,288.9,6,Late,134,Crop_Residues,9.2,1,59.4,7.83,10.4,6.4,8.2,26.3,42.3,Autumn,0.34,1,0,0,0,0,0,1,0,3.25,4.0,12,2.68
Australian_Milking_Zebu,Subtropical,Mixed,75,736.5,5,Late,37,Pasture_Grass,16.6,3,69.6,1.61,5.8,9.8,6.6,10.0,64.8,Spring,0.86,1,1,0,0,0,1,1,1,4.58,3.5,12,5.38
Boran,Subtropical,Extensive,105,367.5,6,Early,59,Crop_Residues,7.8,3,104.0,5.63,10.0,6.0,6.3,28.5,57.6,Autumn,0.92,1,1,0,1,1,0,0,0,8.77,4.0,12,7.66
Illawarra_Shorthorn,Subtropical,Semi_Intensive,116,460.3,6,Late,200,Silage,12.3,4,38.8,5.29,7.1,11.1,12.6,41.4,56.5,Summer,0.96,0,0,1,0,1,0,0,1,11.52,3.5,12,11.19
Tharparkar,Tropical,Semi_Intensive,143,307.6,5,Late,13,Crop_Residues,10.6,5,58.4,3.48,6.4,11.6,8.5,29.4,47.5,Winter,0.43,0,0,1,1,1,1,1,0,8.97,3.5,12,8.73
Krishna_Valley,Mediterranean,Extensive,118,371.9,4,Early,77,Green_Fodder,16.9,1,36.6,4.45,6.7,8.3,10.6,7.9,54.8,Monsoon,0.53,0,1,0,0,0,0,1,1,0.54,3.0,12,0.76
Danish_Red,Temperate,Semi_Intensive,99,329.8,4,Late,70,Dry_Fodder,7.9,1,87.0,5.69,1.2,11.8,14.6,26.2,71.1,Autumn,0.65,1,1,0,1,1,0,1,1,9.22,3.0,12,10.39
Australian_Milking_Zebu,Tropical,Mixed,142,694.0,1,Early,324,Mixed_Feed,15.3,2,75.0,0.5,6.0,8.7,8.8,37.5,54.8,Summer,0.81,0,1,0,0,0,0,1,1,3.12,3.0,6,3.71
Jersey_Zebu_Cross,Arid,Extensive,125,523.0,3,Early,97,Green_Fodder,17.3,2,35.9,1.75,4.5,6.8,9.8,16.1,29.6,Autumn,0.74,0,0,0,1,0,1,0,1,9.09,4.5,12,8.89
Red_Poll_Africa,Continental,Pastoral,106,523.8,3,Mid,42,Concentrates,15.4,1,88.7,5.71,5.2,6.2,13.2,7.2,64.4,Summer,0.45,1,1,0,0,1,0,0,1,8.76,3.5,12,7.52
Guernsey,Tropical,Pastoral,118,546.5,3,Late,329,Concentrates,14.1,5,110.9,3.14,5.1,10.7,9.2,45.0,57.3,Spring,0.51,1,1,1,0,1,0,0,0,8.02,4.0,12,7.78
Girolando,Subtropical,Mixed,63,565.6,3,Late,201,Green_Fodder,15.8,5,44.1,3.26,4.1,12.5,6.9,32.5,22.7,Monsoon,0.52,0,0,1,1,1,1,0,1,7.55,4.0,8,8.65
Red_Poll_Africa,Subtropical,Intensive,85,507.8,1,Early,329,Concentrates,12.2,1,67.2,4.45,8.8,9.0,11.7,19.6,67.4,Spring,0.6,1,1,0,1,0,1,1,1,5.87,3.5,12,3.68
Gir,Mediterranean,Semi_Intensive,34,687.7,3,Mid,27,Hay,13.2,1,67.1,0.5,6.8,11.7,5.0,45.0,63.4,Autumn,0.9,0,0,0,1,0,1,0,0,3.98,3.0,12,3.85
Normande,Temperate,Mixed,73,446.6,1,Late,114,Silage,8.0,5,78.6,3.41,1.0,5.9,11.4,11.1,33.3,Spring,0.71,0,0,0,0,0,1,1,0,12.99,3.5,8,11.39
Normande,Subtropical,Intensive,99,472.9,5,Mid,343,Pasture_Grass,18.7,3,98.4,7.38,7.1,7.4,14.7,26.3,43.1,Spring,0.58,1,1,0,1,1,1,1,1,7.03,4.0,8,7.95
Fleckvieh,Mediterranean,Mixed,109,371.8,4,Late,219,Concentrates,9.7,2,20.0,6.26,5.6,5.7,10.8,17.0,82.9,Summer,0.97,0,1,1,1,0,1,1,1,14.22,2.5,12,13.29
